Date,Day,Month,Year,Average,Volume
12-Jan-11,12,1,11,24.99,19063616
12-Jan-12,12,1,12,24.57,3585762
25-Aug-11,25,8,11,20.52,11664774
18-Jun-14,18,6,14,102.65,1021912
15-Apr-10,15,4,10,22.52,20813220
12-Jun-13,12,6,13,82.46,352851
15-Feb-11,15,2,11,26.77,2326094
1-Mar-11,1,3,11,26.45,6003370
15-Feb-13,15,2,13,69.85,1389022
1-Mar-13,1,3,13,63.16,915261
19-Aug-13,19,8,13,103.34,1617331
9-Jan-14,9,1,14,134.1,627566
19-Aug-11,19,8,11,19.13,8196478
16-Jan-13,16,1,13,84.45,265177
16-Jan-14,16,1,14,123.99,901613
9-Jan-13,9,1,13,85.65,505405
19-Aug-14,19,8,14,110.82,462468
16-Dec-10,16,12,10,23.27,21032038
17-Nov-14,17,11,14,104.89,697043
17-Nov-11,17,11,11,22.1,9715450
17-Nov-10,17,11,10,21.05,33095032
10-Dec-10,10,12,10,23.2,17311424
20-Jan-10,20,1,10,19.92,46893066
22-Jul-14,22,7,14,103.53,640714
18-May-12,18,5,12,24.99,2341122
22-Jul-11,22,7,11,27.37,3622772
22-Jul-10,22,7,10,17.95,41858950
22-Jul-13,22,7,13,90.5,438073
11-Oct-10,11,10,10,20.55,15740564
10-Jan-12,10,1,12,24.56,2831270
20-Jan-12,20,1,12,25.33,2331338
24-Feb-10,24,2,10,18.66,31912534
30-Apr-10,30,4,10,21.99,43761350
21-Mar-12,21,3,12,29.02,1905746
1-Nov-13,1,11,13,115.71,1055910
1-Nov-12,1,11,12,29.82,2373470
1-Nov-11,1,11,11,21.97,12377806
1-Nov-10,1,11,10,21.29,32067010
14-Jun-10,14,6,10,18.32,43203904
19-Apr-11,19,4,11,25.97,2795802
19-Apr-10,19,4,10,21.82,42384336
19-Apr-13,19,4,13,70.72,228024
19-Apr-12,19,4,12,28.05,2540096
